Country_Region,country
US,United States
Bahamas,"Bahamas, The"
Brunei,Brunei Darussalam
Burma,Myanmar
Congo (Brazzaville),"Congo, Rep."
Congo (Kinshasa),"Congo, Dem. Rep."
Czechia,Czech Republic
Diamond Princess,
Egypt,"Egypt, Arab Rep."
Eritrea,
Gambia,"Gambia, The"
Holy See,
Iran,"Iran, Islamic Rep."
"Korea, South","Korea, Rep."
Kyrgyzstan,Kyrgyz Republic
Laos,Lao PDR
Russia,Russian Federation
Saint Kitts and Nevis,St. Kitts and Nevis
Saint Lucia,St. Lucia
Saint Vincent and the Grenadines,St. Vincent and the Grenadines
Slovakia,Slovak Republic
Syria,Syran Arab Republic
Taiwan*,
Venezuela,"Venezuela, RB"